Item,Description,Qty,Part_No,Material
37,Clamp,4.0,93283,SS
38,Carriage Bolt (1/4” x 20 - 6g x 1-1/2”),4.0,Y84-403-T,SS
39,Nut (1/4” - 20),4.0,Y12-4-S,SS
42,"Bellows, PRV",1.0,97981,T
43,O-Ring (1/8” x 2-5/8” OD),1.0,Y327-229,V
45,"Rod, PRV",1.0,97980,SS
46,"Cylinder, PRV",1.0,97982-2,SS
47,"Piston, PRV",1.0,97979,D
48,"O-Ring (3/16"" x 2"" OD)",1.0,Y327-326,V
49,"Spring, PRV",1.0,97978,C
50,"Cap Spring, PRV",1.0,97972-2,SS
51,Fitting (3/8” OD Tube x 1/4” NPT),1.0,59474-160,Ny
196,"Tubing (3/8"" OD Clear)",0.6,98227-XXX-X,F
